approval_id,task_id,requested_action,requesting_agent,risk_score,confidence_score,reason,required_approver_role,approval_status,created_at
approval_00001,task_00001,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:01:00
approval_00002,task_00003,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:03:00
approval_00003,task_00005,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:05:00
approval_00004,task_00008,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:08:00
approval_00005,task_00009,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:09:00
approval_00006,task_00010,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:10:00
approval_00007,task_00012,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:12:00
approval_00008,task_00013,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:13:00
approval_00009,task_00014,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:14:00
approval_00010,task_00015,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:15:00
approval_00011,task_00017,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:17:00
approval_00012,task_00021,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:21:00
approval_00013,task_00022,review approval queue,governance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:22:00
approval_00014,task_00024,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:24:00
approval_00015,task_00025,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:25:00
approval_00016,task_00027,review approval queue,support_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:27:00
approval_00017,task_00029,review approval queue,healthcare_ops_agent,63,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:29:00
approval_00018,task_00033,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:33:00
approval_00019,task_00034,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:34:00
approval_00020,task_00036,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:36:00
approval_00021,task_00037,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:37:00
approval_00022,task_00038,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:38:00
approval_00023,task_00039,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:39:00
approval_00024,task_00041,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:41:00
approval_00025,task_00044,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:44:00
approval_00026,task_00045,review approval queue,metrics_agent,75,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:45:00
approval_00027,task_00046,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:46:00
approval_00028,task_00048,review approval queue,executive_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,pending,2026-01-01 00:48:00
