conflict_id,task_id,agents_involved,conflicting_recommendations,arbitration_result,winning_recommendation,arbitration_reason,confidence_score,risk_score,human_review_required
conflict_00001,task_00002,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00002,task_00004,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00003,task_00007,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00004,task_00008,rag_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00005,task_00009,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00006,task_00014,fraud_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00007,task_00016,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00008,task_00019,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00009,task_00020,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00010,task_00021,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00011,task_00026,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00012,task_00028,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00013,task_00031,reliability_agent|data_quality_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00014,task_00032,rag_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00015,task_00033,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00016,task_00038,fraud_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00017,task_00040,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00018,task_00043,reliability_agent|data_quality_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00019,task_00044,rag_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00020,task_00045,metrics_agent|executive_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00021,task_00050,fraud_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00022,task_00052,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00023,task_00055,reliability_agent|data_quality_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00024,task_00056,rag_agent|governance_agent,execute_action|block_or_review,human_review_required,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,72,True
conflict_00025,task_00057,metrics_agent|executive_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00026,task_00062,fraud_agent|governance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
conflict_00027,task_00064,supply_chain_agent|finance_agent,execute_action|block_or_review,shadow_mode,governance_safe_path,selected lower-risk reversible path with stronger governance posture,0.81,48,False
