handoff_id,task_id,from_agent,to_agent,handoff_reason,evidence,confidence_score,accepted_flag
handoff_00001,task_00002,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00002,task_00003,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00003,task_00004,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00004,task_00005,healthcare_ops_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic healthcare_ops enterprise workflow requiring governed agent action.,0.84,True
handoff_00005,task_00007,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00006,task_00008,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00007,task_00009,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00008,task_00010,governance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic governance enterprise workflow requiring governed agent action.,0.84,True
handoff_00009,task_00011,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00010,task_00014,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00011,task_00015,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00012,task_00016,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00013,task_00019,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00014,task_00020,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00015,task_00021,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00016,task_00023,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00017,task_00025,finance_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic finance enterprise workflow requiring governed agent action.,0.84,True
handoff_00018,task_00026,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00019,task_00027,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00020,task_00028,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00021,task_00030,data_quality_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic data_quality enterprise workflow requiring governed agent action.,0.84,True
handoff_00022,task_00031,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00023,task_00032,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00024,task_00033,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00025,task_00035,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00026,task_00038,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00027,task_00039,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00028,task_00040,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00029,task_00043,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00030,task_00044,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00031,task_00045,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00032,task_00047,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00033,task_00050,fraud_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic fraud enterprise workflow requiring governed agent action.,0.84,True
handoff_00034,task_00051,support_agent,fraud_agent,specialist review required by risk or domain boundary,Synthetic support enterprise workflow requiring governed agent action.,0.84,True
handoff_00035,task_00052,supply_chain_agent,finance_agent,specialist review required by risk or domain boundary,Synthetic supply_chain enterprise workflow requiring governed agent action.,0.84,True
handoff_00036,task_00055,reliability_agent,data_quality_agent,specialist review required by risk or domain boundary,Synthetic reliability enterprise workflow requiring governed agent action.,0.84,True
handoff_00037,task_00056,rag_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic rag enterprise workflow requiring governed agent action.,0.84,True
handoff_00038,task_00057,metrics_agent,executive_agent,specialist review required by risk or domain boundary,Synthetic metrics enterprise workflow requiring governed agent action.,0.84,True
handoff_00039,task_00059,security_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic security enterprise workflow requiring governed agent action.,0.84,True
handoff_00040,task_00060,executive_agent,governance_agent,specialist review required by risk or domain boundary,Synthetic executive enterprise workflow requiring governed agent action.,0.84,True
