tool_id,tool_name,domain,description,required_permission,risk_level,reversible_flag,requires_approval,output_type,cost_estimate,failure_modes
query_revenue_anomalies,query_revenue_anomalies,finance,Deterministic simulation for query_revenue_anomalies.,finance:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
calculate_margin_impact,calculate_margin_impact,finance,Deterministic simulation for calculate_margin_impact.,finance:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
check_invoice_status,check_invoice_status,finance,Deterministic simulation for check_invoice_status.,finance:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
simulate_finance_approval,simulate_finance_approval,finance,Deterministic simulation for simulate_finance_approval.,finance:execute,high,False,True,structured_json,0.08,stale_input|policy_denied|low_confidence
score_transaction_risk,score_transaction_risk,fraud,Deterministic simulation for score_transaction_risk.,fraud:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
check_identity_graph,check_identity_graph,fraud,Deterministic simulation for check_identity_graph.,fraud:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
freeze_account_shadow,freeze_account_shadow,fraud,Deterministic simulation for freeze_account_shadow.,fraud:execute,high,False,True,structured_json,0.06,stale_input|policy_denied|low_confidence
estimate_false_positive_cost,estimate_false_positive_cost,fraud,Deterministic simulation for estimate_false_positive_cost.,fraud:execute,medium,True,False,structured_json,0.08,stale_input|policy_denied|low_confidence
summarize_support_case,summarize_support_case,support,Deterministic simulation for summarize_support_case.,support:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
recommend_refund,recommend_refund,support,Deterministic simulation for recommend_refund.,support:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
mask_customer_pii,mask_customer_pii,support,Deterministic simulation for mask_customer_pii.,support:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
escalate_support_case,escalate_support_case,support,Deterministic simulation for escalate_support_case.,support:execute,medium,True,False,structured_json,0.08,stale_input|policy_denied|low_confidence
check_inventory_risk,check_inventory_risk,supply_chain,Deterministic simulation for check_inventory_risk.,supply_chain:execute,low,True,False,structured_json,0.02,stale_input|policy_denied|low_confidence
simulate_reroute,simulate_reroute,supply_chain,Deterministic simulation for simulate_reroute.,supply_chain:execute,medium,True,False,structured_json,0.04,stale_input|policy_denied|low_confidence
estimate_stockout_cost,estimate_stockout_cost,supply_chain,Deterministic simulation for estimate_stockout_cost.,supply_chain:execute,low,True,False,structured_json,0.06,stale_input|policy_denied|low_confidence
escalate_supplier_delay,escalate_supplier_delay,supply_chain,Deterministic simulation for escalate_supplier_delay.,supply_chain:execute,medium,True,False,structured_json,0.08,stale_input|policy_denied|low_confidence
