incident_id,task_id,incident_type,severity,policy_reason,recommended_action,span_type
safety_00001,task_00011,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00002,task_00023,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00003,task_00035,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00004,task_00047,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00005,task_00059,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00006,task_00071,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00007,task_00083,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00008,task_00095,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00009,task_00107,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00010,task_00119,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00011,task_00131,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00012,task_00143,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00013,task_00155,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00014,task_00167,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00015,task_00179,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00016,task_00191,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00017,task_00203,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00018,task_00215,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00019,task_00227,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00020,task_00239,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00021,task_00251,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00022,task_00263,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00023,task_00275,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00024,task_00287,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00025,task_00299,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00026,task_00311,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
safety_00027,task_00323,prompt_injection,high,prompt attack contained before tool execution,block action and create governance review,guardrail
