case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
security_case_0001,security,prompt_injection_attempt,43498,85,critical,True,2026-01-01 00:00:00
security_case_0002,security,prompt_injection_attempt,68767,93,critical,True,2026-01-01 01:00:00
security_case_0003,security,prompt_injection_attempt,81396,67,medium,True,2026-01-01 02:00:00
security_case_0004,security,prompt_injection_attempt,65141,56,medium,True,2026-01-01 03:00:00
security_case_0005,security,prompt_injection_attempt,86725,37,low,True,2026-01-01 04:00:00
security_case_0006,security,prompt_injection_attempt,70598,64,medium,True,2026-01-01 05:00:00
security_case_0007,security,prompt_injection_attempt,78145,51,medium,True,2026-01-01 06:00:00
security_case_0008,security,prompt_injection_attempt,11155,20,low,True,2026-01-01 07:00:00
security_case_0009,security,prompt_injection_attempt,66184,55,medium,True,2026-01-01 08:00:00
security_case_0010,security,prompt_injection_attempt,40167,79,high,True,2026-01-01 09:00:00
security_case_0011,security,prompt_injection_attempt,50226,66,medium,True,2026-01-01 10:00:00
security_case_0012,security,prompt_injection_attempt,59215,91,critical,True,2026-01-01 11:00:00
security_case_0013,security,prompt_injection_attempt,87313,48,medium,True,2026-01-01 12:00:00
security_case_0014,security,prompt_injection_attempt,88627,23,low,True,2026-01-01 13:00:00
security_case_0015,security,prompt_injection_attempt,26652,27,low,True,2026-01-01 14:00:00
security_case_0016,security,prompt_injection_attempt,66304,80,high,True,2026-01-01 15:00:00
security_case_0017,security,prompt_injection_attempt,67748,92,critical,True,2026-01-01 16:00:00
security_case_0018,security,prompt_injection_attempt,31837,65,medium,True,2026-01-01 17:00:00
security_case_0019,security,prompt_injection_attempt,12024,15,low,True,2026-01-01 18:00:00
security_case_0020,security,prompt_injection_attempt,4644,38,low,True,2026-01-01 19:00:00
security_case_0021,security,prompt_injection_attempt,70183,55,medium,True,2026-01-01 20:00:00
security_case_0022,security,prompt_injection_attempt,44583,92,critical,True,2026-01-01 21:00:00
security_case_0023,security,prompt_injection_attempt,88713,85,critical,True,2026-01-01 22:00:00
security_case_0024,security,prompt_injection_attempt,42382,83,high,True,2026-01-01 23:00:00
security_case_0025,security,prompt_injection_attempt,88034,41,low,True,2026-01-02 00:00:00
security_case_0026,security,prompt_injection_attempt,37630,34,low,True,2026-01-02 01:00:00
security_case_0027,security,prompt_injection_attempt,71637,20,low,True,2026-01-02 02:00:00
security_case_0028,security,prompt_injection_attempt,8548,66,medium,True,2026-01-02 03:00:00
security_case_0029,security,prompt_injection_attempt,50436,32,low,True,2026-01-02 04:00:00
security_case_0030,security,prompt_injection_attempt,72383,58,medium,True,2026-01-02 05:00:00
security_case_0031,security,prompt_injection_attempt,83298,36,low,True,2026-01-02 06:00:00
security_case_0032,security,prompt_injection_attempt,74209,50,medium,True,2026-01-02 07:00:00
security_case_0033,security,prompt_injection_attempt,4290,34,low,True,2026-01-02 08:00:00
security_case_0034,security,prompt_injection_attempt,34170,19,low,True,2026-01-02 09:00:00
security_case_0035,security,prompt_injection_attempt,5334,91,critical,True,2026-01-02 10:00:00
security_case_0036,security,prompt_injection_attempt,10726,44,low,True,2026-01-02 11:00:00
security_case_0037,security,prompt_injection_attempt,61102,89,critical,True,2026-01-02 12:00:00
security_case_0038,security,prompt_injection_attempt,64479,76,high,True,2026-01-02 13:00:00
security_case_0039,security,prompt_injection_attempt,69861,67,medium,True,2026-01-02 14:00:00
security_case_0040,security,prompt_injection_attempt,78025,15,low,True,2026-01-02 15:00:00
security_case_0041,security,prompt_injection_attempt,66809,74,high,True,2026-01-02 16:00:00
security_case_0042,security,prompt_injection_attempt,72277,46,medium,True,2026-01-02 17:00:00
security_case_0043,security,prompt_injection_attempt,5357,45,medium,True,2026-01-02 18:00:00
security_case_0044,security,prompt_injection_attempt,21873,87,critical,True,2026-01-02 19:00:00
security_case_0045,security,prompt_injection_attempt,56348,23,low,True,2026-01-02 20:00:00
security_case_0046,security,prompt_injection_attempt,77373,33,low,True,2026-01-02 21:00:00
security_case_0047,security,prompt_injection_attempt,1400,50,medium,True,2026-01-02 22:00:00
security_case_0048,security,prompt_injection_attempt,46802,91,critical,True,2026-01-02 23:00:00
security_case_0049,security,prompt_injection_attempt,61278,36,low,True,2026-01-03 00:00:00
security_case_0050,security,prompt_injection_attempt,3635,57,medium,True,2026-01-03 01:00:00
security_case_0051,security,prompt_injection_attempt,36720,75,high,True,2026-01-03 02:00:00
security_case_0052,security,prompt_injection_attempt,80711,70,high,True,2026-01-03 03:00:00
security_case_0053,security,prompt_injection_attempt,60773,63,medium,True,2026-01-03 04:00:00
security_case_0054,security,prompt_injection_attempt,22151,35,low,True,2026-01-03 05:00:00
security_case_0055,security,prompt_injection_attempt,76897,48,medium,True,2026-01-03 06:00:00
security_case_0056,security,prompt_injection_attempt,31974,56,medium,True,2026-01-03 07:00:00
security_case_0057,security,prompt_injection_attempt,76947,77,high,True,2026-01-03 08:00:00
security_case_0058,security,prompt_injection_attempt,27605,87,critical,True,2026-01-03 09:00:00
security_case_0059,security,prompt_injection_attempt,53538,71,high,True,2026-01-03 10:00:00
security_case_0060,security,prompt_injection_attempt,36327,50,medium,True,2026-01-03 11:00:00
