case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
governance_case_0001,governance,governance_access_request,89032,88,critical,True,2026-01-01 00:00:00
governance_case_0002,governance,governance_access_request,50481,91,critical,True,2026-01-01 01:00:00
governance_case_0003,governance,governance_access_request,75677,31,low,True,2026-01-01 02:00:00
governance_case_0004,governance,governance_access_request,89138,79,high,True,2026-01-01 03:00:00
governance_case_0005,governance,governance_access_request,13602,67,medium,True,2026-01-01 04:00:00
governance_case_0006,governance,governance_access_request,40893,55,medium,True,2026-01-01 05:00:00
governance_case_0007,governance,governance_access_request,35938,82,high,True,2026-01-01 06:00:00
governance_case_0008,governance,governance_access_request,8124,41,low,True,2026-01-01 07:00:00
governance_case_0009,governance,governance_access_request,68224,81,high,True,2026-01-01 08:00:00
governance_case_0010,governance,governance_access_request,39606,18,low,True,2026-01-01 09:00:00
governance_case_0011,governance,governance_access_request,42770,53,medium,True,2026-01-01 10:00:00
governance_case_0012,governance,governance_access_request,14409,88,critical,True,2026-01-01 11:00:00
governance_case_0013,governance,governance_access_request,17102,39,low,True,2026-01-01 12:00:00
governance_case_0014,governance,governance_access_request,81732,34,low,True,2026-01-01 13:00:00
governance_case_0015,governance,governance_access_request,4973,90,critical,True,2026-01-01 14:00:00
governance_case_0016,governance,governance_access_request,21723,65,medium,True,2026-01-01 15:00:00
governance_case_0017,governance,governance_access_request,26993,30,low,True,2026-01-01 16:00:00
governance_case_0018,governance,governance_access_request,44627,30,low,True,2026-01-01 17:00:00
governance_case_0019,governance,governance_access_request,53193,94,critical,True,2026-01-01 18:00:00
governance_case_0020,governance,governance_access_request,44902,72,high,True,2026-01-01 19:00:00
governance_case_0021,governance,governance_access_request,8486,16,low,True,2026-01-01 20:00:00
governance_case_0022,governance,governance_access_request,22686,36,low,True,2026-01-01 21:00:00
governance_case_0023,governance,governance_access_request,76079,82,high,True,2026-01-01 22:00:00
governance_case_0024,governance,governance_access_request,57745,83,high,True,2026-01-01 23:00:00
governance_case_0025,governance,governance_access_request,58774,59,medium,True,2026-01-02 00:00:00
governance_case_0026,governance,governance_access_request,60648,47,medium,True,2026-01-02 01:00:00
governance_case_0027,governance,governance_access_request,68898,78,high,True,2026-01-02 02:00:00
governance_case_0028,governance,governance_access_request,6171,64,medium,True,2026-01-02 03:00:00
governance_case_0029,governance,governance_access_request,33628,72,high,True,2026-01-02 04:00:00
governance_case_0030,governance,governance_access_request,49017,74,high,True,2026-01-02 05:00:00
governance_case_0031,governance,governance_access_request,31122,85,critical,True,2026-01-02 06:00:00
governance_case_0032,governance,governance_access_request,76158,89,critical,True,2026-01-02 07:00:00
governance_case_0033,governance,governance_access_request,43948,41,low,True,2026-01-02 08:00:00
governance_case_0034,governance,governance_access_request,69407,57,medium,True,2026-01-02 09:00:00
governance_case_0035,governance,governance_access_request,76829,70,high,True,2026-01-02 10:00:00
governance_case_0036,governance,governance_access_request,45926,44,low,True,2026-01-02 11:00:00
governance_case_0037,governance,governance_access_request,81950,49,medium,True,2026-01-02 12:00:00
governance_case_0038,governance,governance_access_request,53254,39,low,True,2026-01-02 13:00:00
governance_case_0039,governance,governance_access_request,76674,24,low,True,2026-01-02 14:00:00
governance_case_0040,governance,governance_access_request,31312,45,medium,True,2026-01-02 15:00:00
governance_case_0041,governance,governance_access_request,45394,61,medium,True,2026-01-02 16:00:00
governance_case_0042,governance,governance_access_request,48295,82,high,True,2026-01-02 17:00:00
governance_case_0043,governance,governance_access_request,10343,56,medium,True,2026-01-02 18:00:00
governance_case_0044,governance,governance_access_request,36471,16,low,True,2026-01-02 19:00:00
governance_case_0045,governance,governance_access_request,82643,94,critical,True,2026-01-02 20:00:00
governance_case_0046,governance,governance_access_request,57144,65,medium,True,2026-01-02 21:00:00
governance_case_0047,governance,governance_access_request,16798,46,medium,True,2026-01-02 22:00:00
governance_case_0048,governance,governance_access_request,31158,15,low,True,2026-01-02 23:00:00
governance_case_0049,governance,governance_access_request,18052,40,low,True,2026-01-03 00:00:00
governance_case_0050,governance,governance_access_request,3209,35,low,True,2026-01-03 01:00:00
governance_case_0051,governance,governance_access_request,83543,63,medium,True,2026-01-03 02:00:00
governance_case_0052,governance,governance_access_request,40890,70,high,True,2026-01-03 03:00:00
governance_case_0053,governance,governance_access_request,28370,48,medium,True,2026-01-03 04:00:00
governance_case_0054,governance,governance_access_request,54264,26,low,True,2026-01-03 05:00:00
governance_case_0055,governance,governance_access_request,1650,60,medium,True,2026-01-03 06:00:00
governance_case_0056,governance,governance_access_request,25743,48,medium,True,2026-01-03 07:00:00
governance_case_0057,governance,governance_access_request,63569,28,low,True,2026-01-03 08:00:00
governance_case_0058,governance,governance_access_request,57405,57,medium,True,2026-01-03 09:00:00
governance_case_0059,governance,governance_access_request,88380,72,high,True,2026-01-03 10:00:00
governance_case_0060,governance,governance_access_request,56211,79,high,True,2026-01-03 11:00:00
