case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
reliability_case_0001,reliability,pipeline_reliability_incident,83880,26,low,True,2026-01-01 00:00:00
reliability_case_0002,reliability,pipeline_reliability_incident,11656,82,high,True,2026-01-01 01:00:00
reliability_case_0003,reliability,pipeline_reliability_incident,11422,77,high,True,2026-01-01 02:00:00
reliability_case_0004,reliability,pipeline_reliability_incident,8806,72,high,True,2026-01-01 03:00:00
reliability_case_0005,reliability,pipeline_reliability_incident,59549,54,medium,True,2026-01-01 04:00:00
reliability_case_0006,reliability,pipeline_reliability_incident,38256,73,high,True,2026-01-01 05:00:00
reliability_case_0007,reliability,pipeline_reliability_incident,69914,88,critical,True,2026-01-01 06:00:00
reliability_case_0008,reliability,pipeline_reliability_incident,60739,31,low,True,2026-01-01 07:00:00
reliability_case_0009,reliability,pipeline_reliability_incident,30693,73,high,True,2026-01-01 08:00:00
reliability_case_0010,reliability,pipeline_reliability_incident,80954,74,high,True,2026-01-01 09:00:00
reliability_case_0011,reliability,pipeline_reliability_incident,68865,80,high,True,2026-01-01 10:00:00
reliability_case_0012,reliability,pipeline_reliability_incident,25077,65,medium,True,2026-01-01 11:00:00
reliability_case_0013,reliability,pipeline_reliability_incident,33413,78,high,True,2026-01-01 12:00:00
reliability_case_0014,reliability,pipeline_reliability_incident,28985,57,medium,True,2026-01-01 13:00:00
reliability_case_0015,reliability,pipeline_reliability_incident,15027,40,low,True,2026-01-01 14:00:00
reliability_case_0016,reliability,pipeline_reliability_incident,14152,91,critical,True,2026-01-01 15:00:00
reliability_case_0017,reliability,pipeline_reliability_incident,84315,21,low,True,2026-01-01 16:00:00
reliability_case_0018,reliability,pipeline_reliability_incident,39973,59,medium,True,2026-01-01 17:00:00
reliability_case_0019,reliability,pipeline_reliability_incident,35115,73,high,True,2026-01-01 18:00:00
reliability_case_0020,reliability,pipeline_reliability_incident,65942,25,low,True,2026-01-01 19:00:00
reliability_case_0021,reliability,pipeline_reliability_incident,50216,29,low,True,2026-01-01 20:00:00
reliability_case_0022,reliability,pipeline_reliability_incident,84316,90,critical,True,2026-01-01 21:00:00
reliability_case_0023,reliability,pipeline_reliability_incident,70446,43,low,True,2026-01-01 22:00:00
reliability_case_0024,reliability,pipeline_reliability_incident,43663,64,medium,True,2026-01-01 23:00:00
reliability_case_0025,reliability,pipeline_reliability_incident,34495,26,low,True,2026-01-02 00:00:00
reliability_case_0026,reliability,pipeline_reliability_incident,88810,67,medium,True,2026-01-02 01:00:00
reliability_case_0027,reliability,pipeline_reliability_incident,64880,15,low,True,2026-01-02 02:00:00
