case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
finance_case_0001,finance,finance_revenue_anomaly,69882,22,low,True,2026-01-01 00:00:00
finance_case_0002,finance,finance_revenue_anomaly,40060,67,medium,True,2026-01-01 01:00:00
finance_case_0003,finance,finance_revenue_anomaly,77415,49,medium,True,2026-01-01 02:00:00
finance_case_0004,finance,finance_revenue_anomaly,63065,21,low,True,2026-01-01 03:00:00
finance_case_0005,finance,finance_revenue_anomaly,9381,31,low,True,2026-01-01 04:00:00
finance_case_0006,finance,finance_revenue_anomaly,87830,57,medium,True,2026-01-01 05:00:00
finance_case_0007,finance,finance_revenue_anomaly,68741,73,high,True,2026-01-01 06:00:00
finance_case_0008,finance,finance_revenue_anomaly,70959,72,high,True,2026-01-01 07:00:00
finance_case_0009,finance,finance_revenue_anomaly,12402,56,medium,True,2026-01-01 08:00:00
finance_case_0010,finance,finance_revenue_anomaly,41084,82,high,True,2026-01-01 09:00:00
finance_case_0011,finance,finance_revenue_anomaly,34001,55,medium,True,2026-01-01 10:00:00
finance_case_0012,finance,finance_revenue_anomaly,83482,29,low,True,2026-01-01 11:00:00
finance_case_0013,finance,finance_revenue_anomaly,58303,77,high,True,2026-01-01 12:00:00
finance_case_0014,finance,finance_revenue_anomaly,74225,47,medium,True,2026-01-01 13:00:00
finance_case_0015,finance,finance_revenue_anomaly,40463,58,medium,True,2026-01-01 14:00:00
finance_case_0016,finance,finance_revenue_anomaly,21224,51,medium,True,2026-01-01 15:00:00
finance_case_0017,finance,finance_revenue_anomaly,50358,22,low,True,2026-01-01 16:00:00
finance_case_0018,finance,finance_revenue_anomaly,6679,86,critical,True,2026-01-01 17:00:00
finance_case_0019,finance,finance_revenue_anomaly,74659,83,high,True,2026-01-01 18:00:00
finance_case_0020,finance,finance_revenue_anomaly,57218,37,low,True,2026-01-01 19:00:00
finance_case_0021,finance,finance_revenue_anomaly,68469,28,low,True,2026-01-01 20:00:00
finance_case_0022,finance,finance_revenue_anomaly,32552,71,high,True,2026-01-01 21:00:00
finance_case_0023,finance,finance_revenue_anomaly,87392,20,low,True,2026-01-01 22:00:00
finance_case_0024,finance,finance_revenue_anomaly,80487,50,medium,True,2026-01-01 23:00:00
finance_case_0025,finance,finance_revenue_anomaly,70276,69,medium,True,2026-01-02 00:00:00
finance_case_0026,finance,finance_revenue_anomaly,18322,75,high,True,2026-01-02 01:00:00
finance_case_0027,finance,finance_revenue_anomaly,42538,44,low,True,2026-01-02 02:00:00
finance_case_0028,finance,finance_revenue_anomaly,4898,54,medium,True,2026-01-02 03:00:00
finance_case_0029,finance,finance_revenue_anomaly,14731,58,medium,True,2026-01-02 04:00:00
finance_case_0030,finance,finance_revenue_anomaly,61791,74,high,True,2026-01-02 05:00:00
finance_case_0031,finance,finance_revenue_anomaly,67283,88,critical,True,2026-01-02 06:00:00
finance_case_0032,finance,finance_revenue_anomaly,87108,44,low,True,2026-01-02 07:00:00
finance_case_0033,finance,finance_revenue_anomaly,29998,47,medium,True,2026-01-02 08:00:00
finance_case_0034,finance,finance_revenue_anomaly,33970,87,critical,True,2026-01-02 09:00:00
finance_case_0035,finance,finance_revenue_anomaly,42790,21,low,True,2026-01-02 10:00:00
finance_case_0036,finance,finance_revenue_anomaly,17862,78,high,True,2026-01-02 11:00:00
finance_case_0037,finance,finance_revenue_anomaly,12563,52,medium,True,2026-01-02 12:00:00
finance_case_0038,finance,finance_revenue_anomaly,43337,69,medium,True,2026-01-02 13:00:00
finance_case_0039,finance,finance_revenue_anomaly,21194,41,low,True,2026-01-02 14:00:00
finance_case_0040,finance,finance_revenue_anomaly,60613,60,medium,True,2026-01-02 15:00:00
finance_case_0041,finance,finance_revenue_anomaly,39906,90,critical,True,2026-01-02 16:00:00
finance_case_0042,finance,finance_revenue_anomaly,75108,27,low,True,2026-01-02 17:00:00
finance_case_0043,finance,finance_revenue_anomaly,63323,65,medium,True,2026-01-02 18:00:00
finance_case_0044,finance,finance_revenue_anomaly,28800,22,low,True,2026-01-02 19:00:00
finance_case_0045,finance,finance_revenue_anomaly,75071,76,high,True,2026-01-02 20:00:00
finance_case_0046,finance,finance_revenue_anomaly,72624,49,medium,True,2026-01-02 21:00:00
finance_case_0047,finance,finance_revenue_anomaly,35485,82,high,True,2026-01-02 22:00:00
finance_case_0048,finance,finance_revenue_anomaly,26661,86,critical,True,2026-01-02 23:00:00
finance_case_0049,finance,finance_revenue_anomaly,61742,34,low,True,2026-01-03 00:00:00
finance_case_0050,finance,finance_revenue_anomaly,13437,65,medium,True,2026-01-03 01:00:00
finance_case_0051,finance,finance_revenue_anomaly,18791,81,high,True,2026-01-03 02:00:00
finance_case_0052,finance,finance_revenue_anomaly,1655,79,high,True,2026-01-03 03:00:00
finance_case_0053,finance,finance_revenue_anomaly,71036,78,high,True,2026-01-03 04:00:00
finance_case_0054,finance,finance_revenue_anomaly,60171,77,high,True,2026-01-03 05:00:00
finance_case_0055,finance,finance_revenue_anomaly,63759,52,medium,True,2026-01-03 06:00:00
finance_case_0056,finance,finance_revenue_anomaly,70484,37,low,True,2026-01-03 07:00:00
finance_case_0057,finance,finance_revenue_anomaly,41843,59,medium,True,2026-01-03 08:00:00
finance_case_0058,finance,finance_revenue_anomaly,51617,55,medium,True,2026-01-03 09:00:00
finance_case_0059,finance,finance_revenue_anomaly,13441,17,low,True,2026-01-03 10:00:00
finance_case_0060,finance,finance_revenue_anomaly,11193,34,low,True,2026-01-03 11:00:00
