case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
support_case_0001,support,support_refund_decision,52984,26,low,True,2026-01-01 00:00:00
support_case_0002,support,support_refund_decision,58836,22,low,True,2026-01-01 01:00:00
support_case_0003,support,support_refund_decision,8515,65,medium,True,2026-01-01 02:00:00
support_case_0004,support,support_refund_decision,38006,75,high,True,2026-01-01 03:00:00
support_case_0005,support,support_refund_decision,4703,77,high,True,2026-01-01 04:00:00
support_case_0006,support,support_refund_decision,44965,29,low,True,2026-01-01 05:00:00
support_case_0007,support,support_refund_decision,30357,30,low,True,2026-01-01 06:00:00
support_case_0008,support,support_refund_decision,13862,67,medium,True,2026-01-01 07:00:00
support_case_0009,support,support_refund_decision,10202,69,medium,True,2026-01-01 08:00:00
support_case_0010,support,support_refund_decision,53300,29,low,True,2026-01-01 09:00:00
support_case_0011,support,support_refund_decision,16182,78,high,True,2026-01-01 10:00:00
support_case_0012,support,support_refund_decision,83335,38,low,True,2026-01-01 11:00:00
support_case_0013,support,support_refund_decision,52714,94,critical,True,2026-01-01 12:00:00
support_case_0014,support,support_refund_decision,31871,50,medium,True,2026-01-01 13:00:00
support_case_0015,support,support_refund_decision,53591,63,medium,True,2026-01-01 14:00:00
support_case_0016,support,support_refund_decision,3029,38,low,True,2026-01-01 15:00:00
support_case_0017,support,support_refund_decision,86311,27,low,True,2026-01-01 16:00:00
support_case_0018,support,support_refund_decision,43925,48,medium,True,2026-01-01 17:00:00
support_case_0019,support,support_refund_decision,70663,52,medium,True,2026-01-01 18:00:00
support_case_0020,support,support_refund_decision,8362,20,low,True,2026-01-01 19:00:00
support_case_0021,support,support_refund_decision,44312,37,low,True,2026-01-01 20:00:00
support_case_0022,support,support_refund_decision,44672,68,medium,True,2026-01-01 21:00:00
support_case_0023,support,support_refund_decision,84466,50,medium,True,2026-01-01 22:00:00
support_case_0024,support,support_refund_decision,51883,27,low,True,2026-01-01 23:00:00
support_case_0025,support,support_refund_decision,43140,58,medium,True,2026-01-02 00:00:00
support_case_0026,support,support_refund_decision,24760,79,high,True,2026-01-02 01:00:00
support_case_0027,support,support_refund_decision,30509,91,critical,True,2026-01-02 02:00:00
support_case_0028,support,support_refund_decision,47339,58,medium,True,2026-01-02 03:00:00
support_case_0029,support,support_refund_decision,40063,82,high,True,2026-01-02 04:00:00
support_case_0030,support,support_refund_decision,2923,37,low,True,2026-01-02 05:00:00
support_case_0031,support,support_refund_decision,74539,44,low,True,2026-01-02 06:00:00
support_case_0032,support,support_refund_decision,80758,15,low,True,2026-01-02 07:00:00
support_case_0033,support,support_refund_decision,13482,58,medium,True,2026-01-02 08:00:00
support_case_0034,support,support_refund_decision,50309,39,low,True,2026-01-02 09:00:00
support_case_0035,support,support_refund_decision,10663,40,low,True,2026-01-02 10:00:00
support_case_0036,support,support_refund_decision,60829,68,medium,True,2026-01-02 11:00:00
support_case_0037,support,support_refund_decision,26029,24,low,True,2026-01-02 12:00:00
support_case_0038,support,support_refund_decision,59688,34,low,True,2026-01-02 13:00:00
support_case_0039,support,support_refund_decision,65702,73,high,True,2026-01-02 14:00:00
support_case_0040,support,support_refund_decision,69409,90,critical,True,2026-01-02 15:00:00
support_case_0041,support,support_refund_decision,10588,40,low,True,2026-01-02 16:00:00
support_case_0042,support,support_refund_decision,82525,64,medium,True,2026-01-02 17:00:00
support_case_0043,support,support_refund_decision,21489,93,critical,True,2026-01-02 18:00:00
support_case_0044,support,support_refund_decision,4329,33,low,True,2026-01-02 19:00:00
support_case_0045,support,support_refund_decision,50381,26,low,True,2026-01-02 20:00:00
support_case_0046,support,support_refund_decision,34012,58,medium,True,2026-01-02 21:00:00
support_case_0047,support,support_refund_decision,74851,39,low,True,2026-01-02 22:00:00
support_case_0048,support,support_refund_decision,72934,51,medium,True,2026-01-02 23:00:00
support_case_0049,support,support_refund_decision,29225,92,critical,True,2026-01-03 00:00:00
support_case_0050,support,support_refund_decision,85808,31,low,True,2026-01-03 01:00:00
support_case_0051,support,support_refund_decision,26891,65,medium,True,2026-01-03 02:00:00
support_case_0052,support,support_refund_decision,46840,64,medium,True,2026-01-03 03:00:00
support_case_0053,support,support_refund_decision,23780,87,critical,True,2026-01-03 04:00:00
support_case_0054,support,support_refund_decision,84307,94,critical,True,2026-01-03 05:00:00
support_case_0055,support,support_refund_decision,15650,29,low,True,2026-01-03 06:00:00
support_case_0056,support,support_refund_decision,4997,57,medium,True,2026-01-03 07:00:00
support_case_0057,support,support_refund_decision,39723,38,low,True,2026-01-03 08:00:00
support_case_0058,support,support_refund_decision,89321,92,critical,True,2026-01-03 09:00:00
support_case_0059,support,support_refund_decision,80359,27,low,True,2026-01-03 10:00:00
support_case_0060,support,support_refund_decision,67626,22,low,True,2026-01-03 11:00:00
