case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
rag_case_0001,rag,rag_answer_risk_review,59407,38,low,True,2026-01-01 00:00:00
rag_case_0002,rag,rag_answer_risk_review,4218,87,critical,True,2026-01-01 01:00:00
rag_case_0003,rag,rag_answer_risk_review,1483,15,low,True,2026-01-01 02:00:00
rag_case_0004,rag,rag_answer_risk_review,5597,27,low,True,2026-01-01 03:00:00
rag_case_0005,rag,rag_answer_risk_review,54927,80,high,True,2026-01-01 04:00:00
rag_case_0006,rag,rag_answer_risk_review,72331,93,critical,True,2026-01-01 05:00:00
rag_case_0007,rag,rag_answer_risk_review,22231,92,critical,True,2026-01-01 06:00:00
rag_case_0008,rag,rag_answer_risk_review,76597,38,low,True,2026-01-01 07:00:00
rag_case_0009,rag,rag_answer_risk_review,6093,34,low,True,2026-01-01 08:00:00
rag_case_0010,rag,rag_answer_risk_review,72285,68,medium,True,2026-01-01 09:00:00
rag_case_0011,rag,rag_answer_risk_review,83573,92,critical,True,2026-01-01 10:00:00
rag_case_0012,rag,rag_answer_risk_review,69717,24,low,True,2026-01-01 11:00:00
rag_case_0013,rag,rag_answer_risk_review,63132,82,high,True,2026-01-01 12:00:00
rag_case_0014,rag,rag_answer_risk_review,75580,80,high,True,2026-01-01 13:00:00
rag_case_0015,rag,rag_answer_risk_review,4573,50,medium,True,2026-01-01 14:00:00
rag_case_0016,rag,rag_answer_risk_review,18958,51,medium,True,2026-01-01 15:00:00
rag_case_0017,rag,rag_answer_risk_review,12118,24,low,True,2026-01-01 16:00:00
rag_case_0018,rag,rag_answer_risk_review,45903,70,high,True,2026-01-01 17:00:00
rag_case_0019,rag,rag_answer_risk_review,67321,58,medium,True,2026-01-01 18:00:00
rag_case_0020,rag,rag_answer_risk_review,57071,58,medium,True,2026-01-01 19:00:00
rag_case_0021,rag,rag_answer_risk_review,76750,21,low,True,2026-01-01 20:00:00
rag_case_0022,rag,rag_answer_risk_review,14813,50,medium,True,2026-01-01 21:00:00
rag_case_0023,rag,rag_answer_risk_review,66381,80,high,True,2026-01-01 22:00:00
rag_case_0024,rag,rag_answer_risk_review,18180,19,low,True,2026-01-01 23:00:00
rag_case_0025,rag,rag_answer_risk_review,25097,16,low,True,2026-01-02 00:00:00
rag_case_0026,rag,rag_answer_risk_review,64181,22,low,True,2026-01-02 01:00:00
rag_case_0027,rag,rag_answer_risk_review,88238,56,medium,True,2026-01-02 02:00:00
rag_case_0028,rag,rag_answer_risk_review,55427,74,high,True,2026-01-02 03:00:00
rag_case_0029,rag,rag_answer_risk_review,5850,55,medium,True,2026-01-02 04:00:00
rag_case_0030,rag,rag_answer_risk_review,55851,20,low,True,2026-01-02 05:00:00
rag_case_0031,rag,rag_answer_risk_review,4769,15,low,True,2026-01-02 06:00:00
rag_case_0032,rag,rag_answer_risk_review,79688,32,low,True,2026-01-02 07:00:00
rag_case_0033,rag,rag_answer_risk_review,64152,51,medium,True,2026-01-02 08:00:00
rag_case_0034,rag,rag_answer_risk_review,16408,47,medium,True,2026-01-02 09:00:00
rag_case_0035,rag,rag_answer_risk_review,9163,44,low,True,2026-01-02 10:00:00
rag_case_0036,rag,rag_answer_risk_review,17334,76,high,True,2026-01-02 11:00:00
rag_case_0037,rag,rag_answer_risk_review,88222,45,medium,True,2026-01-02 12:00:00
rag_case_0038,rag,rag_answer_risk_review,41811,62,medium,True,2026-01-02 13:00:00
rag_case_0039,rag,rag_answer_risk_review,70783,58,medium,True,2026-01-02 14:00:00
rag_case_0040,rag,rag_answer_risk_review,57640,35,low,True,2026-01-02 15:00:00
rag_case_0041,rag,rag_answer_risk_review,51944,84,high,True,2026-01-02 16:00:00
rag_case_0042,rag,rag_answer_risk_review,13916,50,medium,True,2026-01-02 17:00:00
rag_case_0043,rag,rag_answer_risk_review,85196,34,low,True,2026-01-02 18:00:00
rag_case_0044,rag,rag_answer_risk_review,27819,58,medium,True,2026-01-02 19:00:00
rag_case_0045,rag,rag_answer_risk_review,52443,48,medium,True,2026-01-02 20:00:00
rag_case_0046,rag,rag_answer_risk_review,63280,58,medium,True,2026-01-02 21:00:00
rag_case_0047,rag,rag_answer_risk_review,58781,35,low,True,2026-01-02 22:00:00
rag_case_0048,rag,rag_answer_risk_review,84712,50,medium,True,2026-01-02 23:00:00
rag_case_0049,rag,rag_answer_risk_review,14211,27,low,True,2026-01-03 00:00:00
rag_case_0050,rag,rag_answer_risk_review,46243,51,medium,True,2026-01-03 01:00:00
rag_case_0051,rag,rag_answer_risk_review,36959,70,high,True,2026-01-03 02:00:00
rag_case_0052,rag,rag_answer_risk_review,43201,88,critical,True,2026-01-03 03:00:00
rag_case_0053,rag,rag_answer_risk_review,11610,25,low,True,2026-01-03 04:00:00
rag_case_0054,rag,rag_answer_risk_review,12934,92,critical,True,2026-01-03 05:00:00
rag_case_0055,rag,rag_answer_risk_review,25748,90,critical,True,2026-01-03 06:00:00
rag_case_0056,rag,rag_answer_risk_review,28118,22,low,True,2026-01-03 07:00:00
rag_case_0057,rag,rag_answer_risk_review,39083,64,medium,True,2026-01-03 08:00:00
rag_case_0058,rag,rag_answer_risk_review,55377,77,high,True,2026-01-03 09:00:00
rag_case_0059,rag,rag_answer_risk_review,57481,47,medium,True,2026-01-03 10:00:00
rag_case_0060,rag,rag_answer_risk_review,37651,92,critical,True,2026-01-03 11:00:00
