case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
fraud_case_0001,fraud,fraud_transaction_review,60487,50,medium,True,2026-01-01 00:00:00
fraud_case_0002,fraud,fraud_transaction_review,42927,67,medium,True,2026-01-01 01:00:00
fraud_case_0003,fraud,fraud_transaction_review,51306,83,high,True,2026-01-01 02:00:00
fraud_case_0004,fraud,fraud_transaction_review,69084,21,low,True,2026-01-01 03:00:00
fraud_case_0005,fraud,fraud_transaction_review,57489,60,medium,True,2026-01-01 04:00:00
fraud_case_0006,fraud,fraud_transaction_review,50268,60,medium,True,2026-01-01 05:00:00
fraud_case_0007,fraud,fraud_transaction_review,50769,22,low,True,2026-01-01 06:00:00
fraud_case_0008,fraud,fraud_transaction_review,28051,78,high,True,2026-01-01 07:00:00
fraud_case_0009,fraud,fraud_transaction_review,3742,63,medium,True,2026-01-01 08:00:00
fraud_case_0010,fraud,fraud_transaction_review,39867,42,low,True,2026-01-01 09:00:00
fraud_case_0011,fraud,fraud_transaction_review,20098,93,critical,True,2026-01-01 10:00:00
fraud_case_0012,fraud,fraud_transaction_review,37359,37,low,True,2026-01-01 11:00:00
fraud_case_0013,fraud,fraud_transaction_review,76952,94,critical,True,2026-01-01 12:00:00
fraud_case_0014,fraud,fraud_transaction_review,21820,17,low,True,2026-01-01 13:00:00
fraud_case_0015,fraud,fraud_transaction_review,6188,80,high,True,2026-01-01 14:00:00
fraud_case_0016,fraud,fraud_transaction_review,26043,83,high,True,2026-01-01 15:00:00
fraud_case_0017,fraud,fraud_transaction_review,27129,88,critical,True,2026-01-01 16:00:00
fraud_case_0018,fraud,fraud_transaction_review,59910,49,medium,True,2026-01-01 17:00:00
fraud_case_0019,fraud,fraud_transaction_review,50575,25,low,True,2026-01-01 18:00:00
fraud_case_0020,fraud,fraud_transaction_review,70766,55,medium,True,2026-01-01 19:00:00
fraud_case_0021,fraud,fraud_transaction_review,60123,94,critical,True,2026-01-01 20:00:00
fraud_case_0022,fraud,fraud_transaction_review,37168,47,medium,True,2026-01-01 21:00:00
fraud_case_0023,fraud,fraud_transaction_review,73447,48,medium,True,2026-01-01 22:00:00
fraud_case_0024,fraud,fraud_transaction_review,15860,40,low,True,2026-01-01 23:00:00
fraud_case_0025,fraud,fraud_transaction_review,3021,41,low,True,2026-01-02 00:00:00
fraud_case_0026,fraud,fraud_transaction_review,9014,23,low,True,2026-01-02 01:00:00
fraud_case_0027,fraud,fraud_transaction_review,65289,76,high,True,2026-01-02 02:00:00
fraud_case_0028,fraud,fraud_transaction_review,42107,70,high,True,2026-01-02 03:00:00
fraud_case_0029,fraud,fraud_transaction_review,15353,72,high,True,2026-01-02 04:00:00
fraud_case_0030,fraud,fraud_transaction_review,45592,87,critical,True,2026-01-02 05:00:00
fraud_case_0031,fraud,fraud_transaction_review,14555,90,critical,True,2026-01-02 06:00:00
fraud_case_0032,fraud,fraud_transaction_review,62972,54,medium,True,2026-01-02 07:00:00
fraud_case_0033,fraud,fraud_transaction_review,40707,54,medium,True,2026-01-02 08:00:00
fraud_case_0034,fraud,fraud_transaction_review,34910,28,low,True,2026-01-02 09:00:00
fraud_case_0035,fraud,fraud_transaction_review,27834,34,low,True,2026-01-02 10:00:00
fraud_case_0036,fraud,fraud_transaction_review,57095,69,medium,True,2026-01-02 11:00:00
fraud_case_0037,fraud,fraud_transaction_review,33201,63,medium,True,2026-01-02 12:00:00
fraud_case_0038,fraud,fraud_transaction_review,8800,91,critical,True,2026-01-02 13:00:00
fraud_case_0039,fraud,fraud_transaction_review,11502,42,low,True,2026-01-02 14:00:00
fraud_case_0040,fraud,fraud_transaction_review,86608,42,low,True,2026-01-02 15:00:00
fraud_case_0041,fraud,fraud_transaction_review,81863,44,low,True,2026-01-02 16:00:00
fraud_case_0042,fraud,fraud_transaction_review,63273,54,medium,True,2026-01-02 17:00:00
fraud_case_0043,fraud,fraud_transaction_review,24662,51,medium,True,2026-01-02 18:00:00
fraud_case_0044,fraud,fraud_transaction_review,87256,76,high,True,2026-01-02 19:00:00
fraud_case_0045,fraud,fraud_transaction_review,70308,36,low,True,2026-01-02 20:00:00
fraud_case_0046,fraud,fraud_transaction_review,64803,35,low,True,2026-01-02 21:00:00
fraud_case_0047,fraud,fraud_transaction_review,40993,78,high,True,2026-01-02 22:00:00
fraud_case_0048,fraud,fraud_transaction_review,25229,73,high,True,2026-01-02 23:00:00
fraud_case_0049,fraud,fraud_transaction_review,9578,21,low,True,2026-01-03 00:00:00
fraud_case_0050,fraud,fraud_transaction_review,81331,50,medium,True,2026-01-03 01:00:00
fraud_case_0051,fraud,fraud_transaction_review,41564,25,low,True,2026-01-03 02:00:00
fraud_case_0052,fraud,fraud_transaction_review,19010,71,high,True,2026-01-03 03:00:00
fraud_case_0053,fraud,fraud_transaction_review,28230,72,high,True,2026-01-03 04:00:00
fraud_case_0054,fraud,fraud_transaction_review,52550,79,high,True,2026-01-03 05:00:00
fraud_case_0055,fraud,fraud_transaction_review,16732,58,medium,True,2026-01-03 06:00:00
fraud_case_0056,fraud,fraud_transaction_review,77238,52,medium,True,2026-01-03 07:00:00
fraud_case_0057,fraud,fraud_transaction_review,68508,16,low,True,2026-01-03 08:00:00
fraud_case_0058,fraud,fraud_transaction_review,65032,54,medium,True,2026-01-03 09:00:00
fraud_case_0059,fraud,fraud_transaction_review,39456,68,medium,True,2026-01-03 10:00:00
fraud_case_0060,fraud,fraud_transaction_review,56830,39,low,True,2026-01-03 11:00:00
