case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
metrics_case_0001,metrics,metric_conflict_resolution,37381,27,low,True,2026-01-01 00:00:00
metrics_case_0002,metrics,metric_conflict_resolution,20368,82,high,True,2026-01-01 01:00:00
metrics_case_0003,metrics,metric_conflict_resolution,53359,90,critical,True,2026-01-01 02:00:00
metrics_case_0004,metrics,metric_conflict_resolution,29216,63,medium,True,2026-01-01 03:00:00
metrics_case_0005,metrics,metric_conflict_resolution,4209,88,critical,True,2026-01-01 04:00:00
metrics_case_0006,metrics,metric_conflict_resolution,38237,38,low,True,2026-01-01 05:00:00
metrics_case_0007,metrics,metric_conflict_resolution,43197,53,medium,True,2026-01-01 06:00:00
metrics_case_0008,metrics,metric_conflict_resolution,21077,26,low,True,2026-01-01 07:00:00
metrics_case_0009,metrics,metric_conflict_resolution,51948,22,low,True,2026-01-01 08:00:00
metrics_case_0010,metrics,metric_conflict_resolution,51353,43,low,True,2026-01-01 09:00:00
metrics_case_0011,metrics,metric_conflict_resolution,63478,62,medium,True,2026-01-01 10:00:00
metrics_case_0012,metrics,metric_conflict_resolution,58667,58,medium,True,2026-01-01 11:00:00
metrics_case_0013,metrics,metric_conflict_resolution,59066,61,medium,True,2026-01-01 12:00:00
metrics_case_0014,metrics,metric_conflict_resolution,29143,64,medium,True,2026-01-01 13:00:00
metrics_case_0015,metrics,metric_conflict_resolution,71081,34,low,True,2026-01-01 14:00:00
metrics_case_0016,metrics,metric_conflict_resolution,49873,42,low,True,2026-01-01 15:00:00
metrics_case_0017,metrics,metric_conflict_resolution,39396,30,low,True,2026-01-01 16:00:00
metrics_case_0018,metrics,metric_conflict_resolution,56715,57,medium,True,2026-01-01 17:00:00
metrics_case_0019,metrics,metric_conflict_resolution,33098,57,medium,True,2026-01-01 18:00:00
metrics_case_0020,metrics,metric_conflict_resolution,46633,91,critical,True,2026-01-01 19:00:00
metrics_case_0021,metrics,metric_conflict_resolution,66566,79,high,True,2026-01-01 20:00:00
metrics_case_0022,metrics,metric_conflict_resolution,79889,59,medium,True,2026-01-01 21:00:00
metrics_case_0023,metrics,metric_conflict_resolution,82974,25,low,True,2026-01-01 22:00:00
metrics_case_0024,metrics,metric_conflict_resolution,45823,83,high,True,2026-01-01 23:00:00
