case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
executive_case_0001,executive,executive_risk_briefing,25459,24,low,True,2026-01-01 00:00:00
executive_case_0002,executive,executive_risk_briefing,79903,58,medium,True,2026-01-01 01:00:00
executive_case_0003,executive,executive_risk_briefing,17695,84,high,True,2026-01-01 02:00:00
executive_case_0004,executive,executive_risk_briefing,8548,69,medium,True,2026-01-01 03:00:00
executive_case_0005,executive,executive_risk_briefing,31431,69,medium,True,2026-01-01 04:00:00
executive_case_0006,executive,executive_risk_briefing,64869,50,medium,True,2026-01-01 05:00:00
executive_case_0007,executive,executive_risk_briefing,72861,48,medium,True,2026-01-01 06:00:00
executive_case_0008,executive,executive_risk_briefing,89888,57,medium,True,2026-01-01 07:00:00
executive_case_0009,executive,executive_risk_briefing,27376,66,medium,True,2026-01-01 08:00:00
executive_case_0010,executive,executive_risk_briefing,37306,77,high,True,2026-01-01 09:00:00
executive_case_0011,executive,executive_risk_briefing,13177,57,medium,True,2026-01-01 10:00:00
executive_case_0012,executive,executive_risk_briefing,52163,24,low,True,2026-01-01 11:00:00
executive_case_0013,executive,executive_risk_briefing,89784,29,low,True,2026-01-01 12:00:00
executive_case_0014,executive,executive_risk_briefing,63378,83,high,True,2026-01-01 13:00:00
executive_case_0015,executive,executive_risk_briefing,53973,73,high,True,2026-01-01 14:00:00
executive_case_0016,executive,executive_risk_briefing,35920,19,low,True,2026-01-01 15:00:00
executive_case_0017,executive,executive_risk_briefing,82461,54,medium,True,2026-01-01 16:00:00
executive_case_0018,executive,executive_risk_briefing,45225,32,low,True,2026-01-01 17:00:00
executive_case_0019,executive,executive_risk_briefing,12958,42,low,True,2026-01-01 18:00:00
executive_case_0020,executive,executive_risk_briefing,33518,23,low,True,2026-01-01 19:00:00
executive_case_0021,executive,executive_risk_briefing,6977,21,low,True,2026-01-01 20:00:00
executive_case_0022,executive,executive_risk_briefing,18976,43,low,True,2026-01-01 21:00:00
executive_case_0023,executive,executive_risk_briefing,2572,59,medium,True,2026-01-01 22:00:00
executive_case_0024,executive,executive_risk_briefing,41341,39,low,True,2026-01-01 23:00:00
executive_case_0025,executive,executive_risk_briefing,57474,92,critical,True,2026-01-02 00:00:00
executive_case_0026,executive,executive_risk_briefing,31553,85,critical,True,2026-01-02 01:00:00
executive_case_0027,executive,executive_risk_briefing,38413,50,medium,True,2026-01-02 02:00:00
executive_case_0028,executive,executive_risk_briefing,86369,85,critical,True,2026-01-02 03:00:00
executive_case_0029,executive,executive_risk_briefing,67924,91,critical,True,2026-01-02 04:00:00
executive_case_0030,executive,executive_risk_briefing,49136,55,medium,True,2026-01-02 05:00:00
executive_case_0031,executive,executive_risk_briefing,26324,93,critical,True,2026-01-02 06:00:00
executive_case_0032,executive,executive_risk_briefing,80832,42,low,True,2026-01-02 07:00:00
executive_case_0033,executive,executive_risk_briefing,21923,45,medium,True,2026-01-02 08:00:00
executive_case_0034,executive,executive_risk_briefing,29955,59,medium,True,2026-01-02 09:00:00
executive_case_0035,executive,executive_risk_briefing,81906,86,critical,True,2026-01-02 10:00:00
executive_case_0036,executive,executive_risk_briefing,48129,39,low,True,2026-01-02 11:00:00
executive_case_0037,executive,executive_risk_briefing,67066,93,critical,True,2026-01-02 12:00:00
executive_case_0038,executive,executive_risk_briefing,53576,32,low,True,2026-01-02 13:00:00
executive_case_0039,executive,executive_risk_briefing,59156,64,medium,True,2026-01-02 14:00:00
executive_case_0040,executive,executive_risk_briefing,27645,17,low,True,2026-01-02 15:00:00
executive_case_0041,executive,executive_risk_briefing,22482,83,high,True,2026-01-02 16:00:00
executive_case_0042,executive,executive_risk_briefing,29701,38,low,True,2026-01-02 17:00:00
executive_case_0043,executive,executive_risk_briefing,14834,29,low,True,2026-01-02 18:00:00
executive_case_0044,executive,executive_risk_briefing,78813,42,low,True,2026-01-02 19:00:00
executive_case_0045,executive,executive_risk_briefing,26208,15,low,True,2026-01-02 20:00:00
executive_case_0046,executive,executive_risk_briefing,50972,19,low,True,2026-01-02 21:00:00
executive_case_0047,executive,executive_risk_briefing,71485,35,low,True,2026-01-02 22:00:00
executive_case_0048,executive,executive_risk_briefing,70760,61,medium,True,2026-01-02 23:00:00
executive_case_0049,executive,executive_risk_briefing,40016,65,medium,True,2026-01-03 00:00:00
executive_case_0050,executive,executive_risk_briefing,43386,83,high,True,2026-01-03 01:00:00
executive_case_0051,executive,executive_risk_briefing,89528,90,critical,True,2026-01-03 02:00:00
executive_case_0052,executive,executive_risk_briefing,61039,62,medium,True,2026-01-03 03:00:00
executive_case_0053,executive,executive_risk_briefing,73502,35,low,True,2026-01-03 04:00:00
executive_case_0054,executive,executive_risk_briefing,81327,68,medium,True,2026-01-03 05:00:00
executive_case_0055,executive,executive_risk_briefing,71095,36,low,True,2026-01-03 06:00:00
executive_case_0056,executive,executive_risk_briefing,17480,52,medium,True,2026-01-03 07:00:00
executive_case_0057,executive,executive_risk_briefing,51033,28,low,True,2026-01-03 08:00:00
executive_case_0058,executive,executive_risk_briefing,10068,40,low,True,2026-01-03 09:00:00
executive_case_0059,executive,executive_risk_briefing,59110,49,medium,True,2026-01-03 10:00:00
executive_case_0060,executive,executive_risk_briefing,86026,40,low,True,2026-01-03 11:00:00
