case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
data_quality_case_0001,data_quality,data_quality_incident,70330,64,medium,True,2026-01-01 00:00:00
data_quality_case_0002,data_quality,data_quality_incident,12975,74,high,True,2026-01-01 01:00:00
data_quality_case_0003,data_quality,data_quality_incident,48710,81,high,True,2026-01-01 02:00:00
data_quality_case_0004,data_quality,data_quality_incident,46765,40,low,True,2026-01-01 03:00:00
data_quality_case_0005,data_quality,data_quality_incident,77323,92,critical,True,2026-01-01 04:00:00
data_quality_case_0006,data_quality,data_quality_incident,42189,81,high,True,2026-01-01 05:00:00
data_quality_case_0007,data_quality,data_quality_incident,35272,77,high,True,2026-01-01 06:00:00
data_quality_case_0008,data_quality,data_quality_incident,57921,69,medium,True,2026-01-01 07:00:00
data_quality_case_0009,data_quality,data_quality_incident,24715,34,low,True,2026-01-01 08:00:00
data_quality_case_0010,data_quality,data_quality_incident,13439,19,low,True,2026-01-01 09:00:00
data_quality_case_0011,data_quality,data_quality_incident,43531,49,medium,True,2026-01-01 10:00:00
data_quality_case_0012,data_quality,data_quality_incident,38103,28,low,True,2026-01-01 11:00:00
data_quality_case_0013,data_quality,data_quality_incident,21698,63,medium,True,2026-01-01 12:00:00
data_quality_case_0014,data_quality,data_quality_incident,33708,42,low,True,2026-01-01 13:00:00
data_quality_case_0015,data_quality,data_quality_incident,33608,55,medium,True,2026-01-01 14:00:00
data_quality_case_0016,data_quality,data_quality_incident,30147,73,high,True,2026-01-01 15:00:00
data_quality_case_0017,data_quality,data_quality_incident,34772,49,medium,True,2026-01-01 16:00:00
data_quality_case_0018,data_quality,data_quality_incident,62031,29,low,True,2026-01-01 17:00:00
data_quality_case_0019,data_quality,data_quality_incident,27422,33,low,True,2026-01-01 18:00:00
data_quality_case_0020,data_quality,data_quality_incident,85448,78,high,True,2026-01-01 19:00:00
data_quality_case_0021,data_quality,data_quality_incident,82554,68,medium,True,2026-01-01 20:00:00
data_quality_case_0022,data_quality,data_quality_incident,43801,83,high,True,2026-01-01 21:00:00
data_quality_case_0023,data_quality,data_quality_incident,30224,76,high,True,2026-01-01 22:00:00
data_quality_case_0024,data_quality,data_quality_incident,48653,51,medium,True,2026-01-01 23:00:00
data_quality_case_0025,data_quality,data_quality_incident,76521,91,critical,True,2026-01-02 00:00:00
data_quality_case_0026,data_quality,data_quality_incident,59080,54,medium,True,2026-01-02 01:00:00
data_quality_case_0027,data_quality,data_quality_incident,72590,31,low,True,2026-01-02 02:00:00
data_quality_case_0028,data_quality,data_quality_incident,48412,59,medium,True,2026-01-02 03:00:00
data_quality_case_0029,data_quality,data_quality_incident,57329,76,high,True,2026-01-02 04:00:00
data_quality_case_0030,data_quality,data_quality_incident,26645,20,low,True,2026-01-02 05:00:00
data_quality_case_0031,data_quality,data_quality_incident,66405,29,low,True,2026-01-02 06:00:00
data_quality_case_0032,data_quality,data_quality_incident,19014,17,low,True,2026-01-02 07:00:00
data_quality_case_0033,data_quality,data_quality_incident,62837,62,medium,True,2026-01-02 08:00:00
data_quality_case_0034,data_quality,data_quality_incident,77603,55,medium,True,2026-01-02 09:00:00
data_quality_case_0035,data_quality,data_quality_incident,12757,88,critical,True,2026-01-02 10:00:00
data_quality_case_0036,data_quality,data_quality_incident,55679,91,critical,True,2026-01-02 11:00:00
data_quality_case_0037,data_quality,data_quality_incident,9463,65,medium,True,2026-01-02 12:00:00
data_quality_case_0038,data_quality,data_quality_incident,65588,64,medium,True,2026-01-02 13:00:00
data_quality_case_0039,data_quality,data_quality_incident,8519,61,medium,True,2026-01-02 14:00:00
data_quality_case_0040,data_quality,data_quality_incident,84298,56,medium,True,2026-01-02 15:00:00
data_quality_case_0041,data_quality,data_quality_incident,13229,72,high,True,2026-01-02 16:00:00
data_quality_case_0042,data_quality,data_quality_incident,86340,91,critical,True,2026-01-02 17:00:00
data_quality_case_0043,data_quality,data_quality_incident,72278,28,low,True,2026-01-02 18:00:00
data_quality_case_0044,data_quality,data_quality_incident,53837,47,medium,True,2026-01-02 19:00:00
data_quality_case_0045,data_quality,data_quality_incident,70653,50,medium,True,2026-01-02 20:00:00
data_quality_case_0046,data_quality,data_quality_incident,71765,94,critical,True,2026-01-02 21:00:00
data_quality_case_0047,data_quality,data_quality_incident,85196,89,critical,True,2026-01-02 22:00:00
data_quality_case_0048,data_quality,data_quality_incident,23551,22,low,True,2026-01-02 23:00:00
data_quality_case_0049,data_quality,data_quality_incident,53516,72,high,True,2026-01-03 00:00:00
data_quality_case_0050,data_quality,data_quality_incident,9459,19,low,True,2026-01-03 01:00:00
data_quality_case_0051,data_quality,data_quality_incident,55838,56,medium,True,2026-01-03 02:00:00
data_quality_case_0052,data_quality,data_quality_incident,16244,28,low,True,2026-01-03 03:00:00
data_quality_case_0053,data_quality,data_quality_incident,51280,25,low,True,2026-01-03 04:00:00
data_quality_case_0054,data_quality,data_quality_incident,51946,15,low,True,2026-01-03 05:00:00
data_quality_case_0055,data_quality,data_quality_incident,42472,53,medium,True,2026-01-03 06:00:00
data_quality_case_0056,data_quality,data_quality_incident,47514,69,medium,True,2026-01-03 07:00:00
data_quality_case_0057,data_quality,data_quality_incident,68989,73,high,True,2026-01-03 08:00:00
data_quality_case_0058,data_quality,data_quality_incident,72132,88,critical,True,2026-01-03 09:00:00
data_quality_case_0059,data_quality,data_quality_incident,44801,56,medium,True,2026-01-03 10:00:00
data_quality_case_0060,data_quality,data_quality_incident,54363,33,low,True,2026-01-03 11:00:00
