case_id,domain,case_type,business_value,risk_score,risk_band,synthetic_flag,created_at
supply_chain_case_0001,supply_chain,supply_chain_reroute,80280,82,high,True,2026-01-01 00:00:00
supply_chain_case_0002,supply_chain,supply_chain_reroute,80516,32,low,True,2026-01-01 01:00:00
supply_chain_case_0003,supply_chain,supply_chain_reroute,47178,24,low,True,2026-01-01 02:00:00
supply_chain_case_0004,supply_chain,supply_chain_reroute,29117,52,medium,True,2026-01-01 03:00:00
supply_chain_case_0005,supply_chain,supply_chain_reroute,69709,16,low,True,2026-01-01 04:00:00
supply_chain_case_0006,supply_chain,supply_chain_reroute,59887,41,low,True,2026-01-01 05:00:00
supply_chain_case_0007,supply_chain,supply_chain_reroute,34255,47,medium,True,2026-01-01 06:00:00
supply_chain_case_0008,supply_chain,supply_chain_reroute,9407,85,critical,True,2026-01-01 07:00:00
supply_chain_case_0009,supply_chain,supply_chain_reroute,67464,73,high,True,2026-01-01 08:00:00
supply_chain_case_0010,supply_chain,supply_chain_reroute,24358,45,medium,True,2026-01-01 09:00:00
supply_chain_case_0011,supply_chain,supply_chain_reroute,84376,15,low,True,2026-01-01 10:00:00
supply_chain_case_0012,supply_chain,supply_chain_reroute,22446,90,critical,True,2026-01-01 11:00:00
supply_chain_case_0013,supply_chain,supply_chain_reroute,11925,17,low,True,2026-01-01 12:00:00
supply_chain_case_0014,supply_chain,supply_chain_reroute,74969,20,low,True,2026-01-01 13:00:00
supply_chain_case_0015,supply_chain,supply_chain_reroute,14642,86,critical,True,2026-01-01 14:00:00
supply_chain_case_0016,supply_chain,supply_chain_reroute,16954,74,high,True,2026-01-01 15:00:00
supply_chain_case_0017,supply_chain,supply_chain_reroute,54345,44,low,True,2026-01-01 16:00:00
supply_chain_case_0018,supply_chain,supply_chain_reroute,78836,72,high,True,2026-01-01 17:00:00
supply_chain_case_0019,supply_chain,supply_chain_reroute,18482,18,low,True,2026-01-01 18:00:00
supply_chain_case_0020,supply_chain,supply_chain_reroute,28618,37,low,True,2026-01-01 19:00:00
supply_chain_case_0021,supply_chain,supply_chain_reroute,70189,94,critical,True,2026-01-01 20:00:00
supply_chain_case_0022,supply_chain,supply_chain_reroute,87492,40,low,True,2026-01-01 21:00:00
supply_chain_case_0023,supply_chain,supply_chain_reroute,45565,54,medium,True,2026-01-01 22:00:00
supply_chain_case_0024,supply_chain,supply_chain_reroute,13806,49,medium,True,2026-01-01 23:00:00
supply_chain_case_0025,supply_chain,supply_chain_reroute,2240,89,critical,True,2026-01-02 00:00:00
supply_chain_case_0026,supply_chain,supply_chain_reroute,21439,28,low,True,2026-01-02 01:00:00
supply_chain_case_0027,supply_chain,supply_chain_reroute,12732,37,low,True,2026-01-02 02:00:00
supply_chain_case_0028,supply_chain,supply_chain_reroute,61311,16,low,True,2026-01-02 03:00:00
supply_chain_case_0029,supply_chain,supply_chain_reroute,11843,92,critical,True,2026-01-02 04:00:00
